,Deaths,Cases,Total Deaths,7 day average
0,0,0,0,0.0
1,0,0,0,0.0
2,0,0,0,0.0
3,0,0,0,0.0
4,0,1,0,0.5
5,0,3,0,0.5
6,0,1,0,0.7142857142857143
7,0,2,0,1.0
8,0,5,0,1.7142857142857142
9,0,16,0,4.0
10,0,11,0,5.571428571428571
11,0,31,0,9.857142857142858
12,0,96,0,23.142857142857142
13,0,166,0,46.714285714285715
14,1,164,1,69.85714285714286
15,0,433,1,131.0
16,1,741,2,234.57142857142858
17,4,785,6,345.14285714285717
18,6,970,12,479.2857142857143
19,6,1205,18,637.7142857142857
20,11,1139,29,776.7142857142857
21,12,555,41,832.5714285714286
22,10,756,51,878.7142857142857
23,27,907,78,902.4285714285714
24,23,1212,101,963.4285714285714
25,36,1235,137,1001.2857142857143
26,50,1373,187,1025.2857142857142
27,75,1431,262,1067.0
28,78,863,340,1111.0
29,90,1145,430,1166.5714285714287
30,106,1759,536,1288.2857142857142
31,126,1521,662,1332.4285714285713
32,137,1608,799,1385.7142857142858
33,168,1642,967,1424.142857142857
34,141,1448,1108,1426.5714285714287
35,163,921,1271,1434.857142857143
36,167,1151,1438,1435.7142857142858
37,168,1499,1606,1398.5714285714287
38,179,1417,1785,1383.7142857142858
39,172,1323,1957,1343.0
40,189,1369,2146,1304.0
41,177,1154,2323,1262.0
42,159,1131,2482,1292.0
43,200,701,2682,1227.7142857142858
44,158,1064,2840,1165.5714285714287
45,153,1037,2993,1111.2857142857142
46,131,883,3124,1048.4285714285713
47,126,884,3250,979.1428571428571
48,117,959,3367,951.2857142857143
49,117,574,3484,871.7142857142857
50,118,635,3602,862.2857142857143
51,96,983,3698,850.7142857142857
52,91,899,3789,831.0
53,108,853,3897,826.7142857142857
54,106,791,4003,813.4285714285714
55,93,629,4096,766.2857142857143
56,76,404,4172,742.0
57,61,332,4233,698.7142857142857
58,89,609,4322,645.2857142857143
59,57,715,4379,619.0
60,72,682,4451,594.5714285714286
61,66,600,4517,567.2857142857143
62,55,497,4572,548.4285714285714
63,46,264,4618,528.4285714285714
64,46,248,4664,516.4285714285714
65,42,463,4706,495.57142857142856
66,49,434,4755,455.42857142857144
67,38,451,4793,422.42857142857144
68,45,401,4838,394.0
69,43,349,4881,372.85714285714283
70,28,122,4909,352.57142857142856
71,26,191,4935,344.42857142857144
72,32,410,4967,336.85714285714283
73,33,400,5000,332.0
74,22,364,5022,319.57142857142856
75,14,333,5036,309.85714285714283
76,26,260,5062,297.14285714285717
77,24,165,5086,303.2857142857143
78,19,138,5105,295.7142857142857
79,15,270,5120,275.7142857142857
80,16,331,5136,265.85714285714283
81,21,326,5157,260.42857142857144
82,15,346,5172,262.2857142857143
83,14,387,5186,280.42857142857144
84,20,163,5206,280.14285714285717
85,12,178,5218,285.85714285714283
86,14,174,5232,272.14285714285717
87,11,339,5243,273.2857142857143
88,11,261,5254,264.0
89,12,226,5266,246.85714285714286
90,16,177,5282,216.85714285714286
91,11,110,5293,209.28571428571428
92,11,81,5304,195.42857142857142
93,10,253,5314,206.71428571428572
94,6,199,5320,186.71428571428572
95,13,145,5333,170.14285714285714
96,10,143,5343,158.28571428571428
97,6,132,5349,151.85714285714286
98,10,60,5359,144.71428571428572
99,5,54,5364,140.85714285714286
100,13,113,5377,120.85714285714286
101,7,129,5384,110.85714285714286
102,11,99,5395,104.28571428571429
103,5,108,5400,99.28571428571429
104,6,123,5406,98.0
105,4,54,5410,97.14285714285714
106,6,55,5416,97.28571428571429
107,4,111,5420,97.0
108,6,134,5426,97.71428571428571
109,7,108,5433,99.0
110,4,112,5437,99.57142857142857
111,3,90,5440,94.85714285714286
112,4,45,5444,93.57142857142857
113,6,51,5450,93.0
114,7,109,5457,92.71428571428571
115,9,95,5466,87.14285714285714
116,11,100,5477,86.0
117,6,82,5483,81.71428571428571
118,5,93,5488,82.14285714285714
119,11,66,5499,85.14285714285714
120,1,58,5500,86.14285714285714
121,5,126,5505,88.57142857142857
122,5,133,5510,94.0
123,5,111,5515,95.57142857142857
124,4,107,5519,99.14285714285714
125,6,46,5525,92.42857142857143
126,5,19,5530,85.71428571428571
127,5,47,5535,84.14285714285714
128,4,95,5539,79.71428571428571
129,3,69,5542,70.57142857142857
130,5,65,5547,64.0
131,2,50,5549,55.857142857142854
132,2,32,5551,53.857142857142854
133,0,16,5551,53.42857142857143
134,0,1,5551,46.857142857142854
