,Date,Santa Clara,SF,Alameda,Contra Costa,Marin,San Mateo
0,2020-03-18,6.0,0.0,0.0,0.0,0.0,1.0
1,2020-03-19,8.0,0.0,0.0,0.0,0.0,1.0
2,2020-03-20,8.0,0.0,0.0,1.0,0.0,1.0
3,2020-03-21,10.0,0.0,0.0,1.0,0.0,1.0
4,2020-03-22,13.0,0.0,1.0,1.0,0.0,1.0
5,2020-03-23,13.0,0.0,1.0,2.0,0.0,1.0
6,2020-03-24,17.0,1.0,2.0,1.0,0.0,2.0
7,2020-03-25,20.0,2.0,3.0,1.0,0.0,5.0
8,2020-03-26,20.0,1.0,4.0,2.0,0.0,5.0
9,2020-03-27,25.0,2.0,4.0,2.0,0.0,7.0
10,2020-03-28,27.0,3.0,6.0,2.0,0.0,9.0
11,2020-03-29,30.0,5.0,6.0,3.0,0.0,12.0
12,2020-03-30,31.0,5.0,7.0,3.0,0.0,11.0
13,2020-03-31,30.0,5.0,7.0,3.0,1.0,12.0
14,2020-04-01,33.0,6.0,8.0,3.0,1.0,13.0
15,2020-04-02,38.0,6.0,10.0,3.0,1.0,13.0
16,2020-04-03,39.0,6.0,11.0,5.0,6.0,13.0
17,2020-04-04,39.0,6.0,12.0,5.0,6.0,17.0
18,2020-04-05,42.0,6.0,12.0,6.0,6.0,19.0
19,2020-04-06,43.0,6.0,13.0,7.0,7.0,20.0
20,2020-04-07,46.0,6.0,14.0,7.0,7.0,22.0
21,2020-04-08,47.0,7.0,15.0,7.0,7.0,22.0
22,2020-04-09,49.0,8.0,17.0,7.0,7.0,23.0
23,2020-04-10,52.0,12.0,26.0,9.0,10.0,21.0
24,2020-04-11,52.0,12.0,26.0,12.0,10.0,25.0
25,2020-04-12,53.0,12.0,26.0,12.0,10.0,25.0
26,2020-04-13,60.0,15.0,31.0,13.0,10.0,25.0
27,2020-04-14,66.0,15.0,37.0,13.0,10.0,25.0
28,2020-04-15,66.0,17.0,37.0,14.0,10.0,25.0
29,2020-04-16,69.0,17.0,44.0,16.0,10.0,25.0
30,2020-04-17,73.0,20.0,44.0,19.0,10.0,28.0
31,2020-04-18,73.0,20.0,44.0,19.0,10.0,28.0
32,2020-04-19,79.0,20.0,44.0,20.0,10.0,31.0
33,2020-04-20,83.0,20.0,50.0,22.0,10.0,31.0
34,2020-04-21,88.0,20.0,51.0,22.0,10.0,31.0
35,2020-04-22,94.0,21.0,53.0,22.0,11.0,39.0
36,2020-04-23,95.0,21.0,56.0,23.0,11.0,39.0
37,2020-04-24,98.0,22.0,56.0,23.0,11.0,43.0
38,2020-04-25,99.0,22.0,56.0,25.0,12.0,43.0
39,2020-04-26,102.0,23.0,56.0,25.0,12.0,46.0
40,2020-04-27,105.0,23.0,59.0,25.0,12.0,46.0
41,2020-04-28,106.0,23.0,59.0,25.0,12.0,48.0
42,2020-04-29,108.0,23.0,63.0,25.0,13.0,50.0
43,2020-04-30,111.0,26.0,63.0,27.0,13.0,52.0
44,2020-05-01,113.0,29.0,63.0,28.0,13.0,52.0
45,2020-05-02,115.0,29.0,63.0,28.0,13.0,52.0
46,2020-05-03,116.0,30.0,65.0,28.0,13.0,53.0
47,2020-05-04,119.0,31.0,65.0,28.0,13.0,53.0
48,2020-05-05,123.0,31.0,69.0,29.0,14.0,56.0
49,2020-05-06,126.0,31.0,69.0,29.0,14.0,56.0
50,2020-05-07,127.0,32.0,69.0,29.0,14.0,57.0
51,2020-05-08,130.0,33.0,72.0,29.0,14.0,62.0
52,2020-05-09,130.0,34.0,75.0,32.0,14.0,65.0
53,2020-05-10,130.0,34.0,75.0,31.0,14.0,65.0
54,2020-05-11,133.0,35.0,75.0,32.0,14.0,65.0
55,2020-05-12,133.0,35.0,80.0,32.0,14.0,66.0
56,2020-05-13,135.0,35.0,80.0,33.0,14.0,66.0
57,2020-05-14,135.0,35.0,84.0,33.0,14.0,66.0
58,2020-05-15,136.0,36.0,85.0,33.0,14.0,67.0
59,2020-05-16,136.0,36.0,85.0,33.0,14.0,68.0
60,2020-05-17,136.0,36.0,85.0,33.0,14.0,68.0
61,2020-05-18,136.0,36.0,88.0,33.0,14.0,68.0
62,2020-05-19,139.0,36.0,88.0,33.0,14.0,75.0
63,2020-05-20,139.0,37.0,88.0,33.0,14.0,75.0
64,2020-05-21,139.0,37.0,90.0,36.0,14.0,75.0
65,2020-05-22,139.0,40.0,90.0,36.0,14.0,76.0
66,2020-05-23,139.0,40.0,92.0,36.0,14.0,76.0
67,2020-05-24,139.0,40.0,93.0,36.0,14.0,76.0
68,2020-05-25,140.0,40.0,93.0,37.0,14.0,76.0
69,2020-05-26,140.0,40.0,97.0,37.0,14.0,82.0
70,2020-05-27,141.0,40.0,97.0,37.0,14.0,82.0
71,2020-05-28,141.0,40.0,102.0,37.0,14.0,82.0
72,2020-05-29,141.0,41.0,103.0,37.0,14.0,84.0
73,2020-05-30,141.0,41.0,103.0,37.0,14.0,84.0
74,2020-05-31,144.0,42.0,104.0,37.0,14.0,84.0
75,2020-06-01,144.0,43.0,104.0,38.0,15.0,84.0
76,2020-06-02,144.0,43.0,104.0,38.0,17.0,84.0
77,2020-06-03,144.0,43.0,104.0,38.0,17.0,84.0
78,2020-06-04,144.0,43.0,104.0,38.0,17.0,84.0
79,2020-06-05,144.0,43.0,104.0,38.0,17.0,88.0
80,2020-06-06,144.0,43.0,104.0,38.0,17.0,88.0
81,2020-06-07,144.0,43.0,104.0,39.0,17.0,88.0
82,2020-06-08,149.0,43.0,110.0,40.0,17.0,88.0
83,2020-06-09,149.0,44.0,110.0,43.0,17.0,93.0
84,2020-06-10,149.0,44.0,110.0,43.0,17.0,93.0
85,2020-06-11,149.0,44.0,110.0,44.0,17.0,93.0
86,2020-06-12,150.0,44.0,110.0,44.0,17.0,99.0
87,2020-06-13,150.0,44.0,110.0,44.0,17.0,99.0
88,2020-06-14,151.0,45.0,112.0,44.0,17.0,99.0
89,2020-06-15,152.0,45.0,112.0,44.0,17.0,99.0
90,2020-06-16,152.0,46.0,112.0,49.0,18.0,99.0
91,2020-06-17,152.0,47.0,116.0,50.0,18.0,99.0
92,2020-06-18,152.0,47.0,117.0,55.0,18.0,99.0
93,2020-06-19,152.0,47.0,118.0,56.0,18.0,103.0
94,2020-06-20,154.0,47.0,119.0,56.0,18.0,103.0
95,2020-06-21,154.0,47.0,119.0,62.0,18.0,103.0
96,2020-06-22,154.0,48.0,121.0,62.0,18.0,103.0
97,2020-06-23,155.0,48.0,121.0,62.0,18.0,103.0
98,2020-06-24,155.0,48.0,122.0,67.0,18.0,104.0
99,2020-06-25,155.0,48.0,128.0,72.0,18.0,104.0
100,2020-06-26,155.0,48.0,130.0,73.0,18.0,106.0
101,2020-06-27,155.0,49.0,130.0,73.0,18.0,106.0
102,2020-06-28,155.0,50.0,133.0,74.0,18.0,106.0
103,2020-06-29,156.0,50.0,133.0,76.0,18.0,106.0
104,2020-06-30,157.0,50.0,135.0,76.0,18.0,108.0
105,2020-07-01,158.0,50.0,136.0,77.0,18.0,108.0
106,2020-07-02,159.0,50.0,138.0,78.0,19.0,108.0
107,2020-07-03,160.0,50.0,140.0,79.0,19.0,108.0
108,2020-07-04,160.0,50.0,140.0,81.0,19.0,108.0
109,2020-07-05,161.0,50.0,140.0,81.0,19.0,108.0
110,2020-07-06,164.0,50.0,140.0,85.0,19.0,108.0
111,2020-07-07,165.0,50.0,140.0,86.0,20.0,111.0
112,2020-07-08,165.0,50.0,142.0,86.0,23.0,111.0
113,2020-07-09,166.0,50.0,146.0,88.0,23.0,111.0
114,2020-07-10,166.0,50.0,147.0,88.0,23.0,112.0
115,2020-07-11,166.0,50.0,148.0,89.0,23.0,112.0
116,2020-07-12,166.0,50.0,148.0,90.0,23.0,112.0
117,2020-07-13,167.0,50.0,148.0,90.0,28.0,112.0
118,2020-07-14,170.0,50.0,152.0,92.0,28.0,114.0
119,2020-07-15,173.0,50.0,154.0,92.0,28.0,114.0
120,2020-07-16,176.0,51.0,154.0,93.0,29.0,114.0
121,2020-07-17,177.0,52.0,161.0,96.0,29.0,114.0
122,2020-07-18,177.0,52.0,162.0,98.0,30.0,114.0
123,2020-07-19,177.0,52.0,162.0,98.0,30.0,114.0
124,2020-07-20,178.0,52.0,162.0,99.0,31.0,114.0
125,2020-07-21,178.0,53.0,167.0,102.0,34.0,114.0
126,2020-07-22,180.0,53.0,171.0,102.0,35.0,114.0
127,2020-07-23,181.0,55.0,173.0,102.0,35.0,114.0
128,2020-07-24,183.0,56.0,178.0,103.0,54.0,117.0
129,2020-07-25,184.0,56.0,178.0,104.0,54.0,117.0
130,2020-07-26,184.0,56.0,178.0,104.0,54.0,117.0
131,2020-07-27,184.0,56.0,178.0,104.0,54.0,117.0
132,2020-07-28,185.0,56.0,181.0,108.0,61.0,118.0
133,2020-07-29,187.0,57.0,181.0,109.0,64.0,118.0
134,2020-07-30,190.0,58.0,182.0,116.0,64.0,118.0
135,2020-07-31,191.0,59.0,182.0,119.0,70.0,119.0
136,2020-08-01,191.0,61.0,189.0,121.0,70.0,119.0
137,2020-08-02,191.0,61.0,189.0,125.0,70.0,119.0
138,2020-08-03,191.0,61.0,189.0,127.0,70.0,119.0
139,2020-08-04,192.0,61.0,192.0,131.0,76.0,120.0
140,2020-08-05,196.0,62.0,193.0,131.0,77.0,120.0
141,2020-08-06,196.0,63.0,193.0,134.0,78.0,120.0
142,2020-08-07,203.0,64.0,193.0,136.0,78.0,120.0
143,2020-08-08,204.0,67.0,193.0,138.0,78.0,120.0
144,2020-08-09,205.0,67.0,193.0,139.0,78.0,120.0
145,2020-08-10,205.0,67.0,205.0,139.0,81.0,120.0
146,2020-08-11,207.0,67.0,205.0,146.0,81.0,122.0
147,2020-08-12,207.0,67.0,212.0,149.0,81.0,122.0
148,2020-08-13,208.0,67.0,216.0,151.0,82.0,122.0
149,2020-08-14,208.0,69.0,219.0,152.0,82.0,126.0
150,2020-08-15,209.0,69.0,219.0,156.0,82.0,126.0
151,2020-08-16,209.0,69.0,221.0,157.0,82.0,126.0
152,2020-08-17,209.0,69.0,221.0,157.0,83.0,126.0
153,2020-08-18,213.0,70.0,224.0,157.0,83.0,127.0
154,2020-08-19,216.0,72.0,228.0,158.0,83.0,127.0
155,2020-08-20,217.0,72.0,231.0,161.0,84.0,127.0
156,2020-08-21,222.0,72.0,234.0,164.0,85.0,128.0
157,2020-08-22,224.0,74.0,233.0,168.0,85.0,128.0
158,2020-08-23,224.0,77.0,234.0,169.0,85.0,128.0
159,2020-08-24,224.0,77.0,234.0,169.0,94.0,128.0
160,2020-08-25,233.0,77.0,240.0,171.0,95.0,130.0
161,2020-08-26,237.0,80.0,243.0,172.0,95.0,130.0
162,2020-08-27,240.0,82.0,244.0,173.0,94.0,130.0
163,2020-08-28,245.0,83.0,247.0,173.0,94.0,131.0
164,2020-08-29,244.0,83.0,247.0,173.0,95.0,131.0
165,2020-08-30,244.0,83.0,252.0,175.0,95.0,131.0
166,2020-08-31,244.0,83.0,257.0,175.0,96.0,131.0
167,2020-09-01,248.0,83.0,257.0,179.0,96.0,132.0
168,2020-09-02,250.0,84.0,274.0,183.0,96.0,132.0
169,2020-09-03,253.0,84.0,295.0,183.0,96.0,132.0
170,2020-09-04,254.0,84.0,296.0,186.0,96.0,135.0
171,2020-09-05,257.0,86.0,299.0,186.0,96.0,135.0
172,2020-09-06,260.0,86.0,299.0,186.0,96.0,135.0
173,2020-09-07,260.0,86.0,300.0,187.0,96.0,135.0
174,2020-09-08,260.0,86.0,303.0,187.0,99.0,136.0
175,2020-09-09,263.0,87.0,303.0,187.0,99.0,136.0
176,2020-09-10,263.0,88.0,303.0,188.0,99.0,136.0
177,2020-09-11,276.0,89.0,320.0,189.0,99.0,139.0
178,2020-09-12,280.0,90.0,320.0,191.0,99.0,139.0
179,2020-09-13,283.0,91.0,332.0,192.0,99.0,139.0
180,2020-09-14,283.0,91.0,332.0,192.0,99.0,139.0
181,2020-09-15,287.0,91.0,356.0,194.0,106.0,142.0
182,2020-09-16,293.0,91.0,356.0,197.0,111.0,142.0
183,2020-09-17,295.0,91.0,365.0,198.0,112.0,142.0
184,2020-09-18,295.0,96.0,370.0,199.0,112.0,142.0
185,2020-09-19,296.0,97.0,374.0,199.0,112.0,143.0
186,2020-09-20,296.0,99.0,374.0,201.0,112.0,143.0
187,2020-09-21,297.0,99.0,374.0,201.0,113.0,143.0
