,Date,Cases per day,Deaths per day,7 day rolling case average,Total cases,Total deaths
0,03/15,0,0,,0,0
1,03/16,15,0,,15,0
2,03/17,25,0,,40,0
3,06/15,174,2,,214,2
4,06/16,266,9,,480,11
5,06/22,249,1,,729,12
6,06/21,280,0,144.14285714285714,1009,12
7,06/20,385,14,199.14285714285714,1394,26
8,06/02,374,12,250.42857142857142,1768,38
9,06/03,483,9,315.85714285714283,2251,47
10,06/04,492,10,361.2857142857143,2743,57
11,04/25,331,4,370.57142857142856,3074,61
12,04/26,224,6,367.0,3298,67
13,04/27,170,9,351.2857142857143,3468,76
14,04/28,208,19,326.0,3676,95
15,04/29,231,8,305.57142857142856,3907,103
16,04/30,334,8,284.2857142857143,4241,111
17,05/01,460,11,279.7142857142857,4701,122
18,05/02,346,7,281.85714285714283,5047,129
19,05/03,304,5,293.2857142857143,5351,134
20,05/04,272,1,307.85714285714283,5623,135
21,05/05,330,13,325.2857142857143,5953,148
22,05/06,335,9,340.14285714285717,6288,157
23,05/07,314,12,337.2857142857143,6602,169
24,05/16,502,8,343.2857142857143,7104,177
25,05/17,356,0,344.7142857142857,7460,177
26,05/18,144,6,321.85714285714283,7604,183
27,05/19,198,8,311.2857142857143,7802,191
28,05/20,528,14,339.57142857142856,8330,205
29,05/21,472,6,359.14285714285717,8802,211
30,05/22,511,9,387.2857142857143,9313,220
31,05/23,481,11,384.2857142857143,9794,231
32,05/24,400,3,390.57142857142856,10194,234
33,05/25,307,4,413.85714285714283,10501,238
34,05/26,279,3,425.42857142857144,10780,241
35,05/27,599,22,435.57142857142856,11379,263
36,05/28,512,11,441.2857142857143,11891,274
37,05/08,375,10,421.85714285714283,12266,284
38,05/09,349,14,403.0,12615,298
39,05/10,280,2,385.85714285714283,12895,300
40,05/11,199,9,370.42857142857144,13094,309
41,05/12,193,9,358.14285714285717,13287,318
42,05/13,291,3,314.14285714285717,13578,321
43,05/14,373,13,294.2857142857143,13951,334
44,05/15,410,11,299.2857142857143,14361,345
45,03/18,34,0,254.28571428571428,14395,345
46,03/19,49,0,221.28571428571428,14444,345
47,03/20,51,3,200.14285714285714,14495,348
48,03/21,75,1,183.28571428571428,14570,349
49,03/22,100,0,156.0,14670,349
50,03/23,35,1,107.71428571428571,14705,350
51,03/24,41,0,55.0,14746,350
52,03/25,128,1,68.42857142857143,14874,351
53,03/26,122,2,78.85714285714286,14996,353
54,03/27,135,5,90.85714285714286,15131,358
55,03/28,147,0,101.14285714285714,15278,358
56,03/29,123,0,104.42857142857143,15401,358
57,03/30,109,1,115.0,15510,359
58,03/31,130,2,127.71428571428571,15640,361
59,04/01,199,8,137.85714285714286,15839,369
60,04/02,180,7,146.14285714285714,16019,376
61,04/03,186,6,153.42857142857142,16205,382
62,04/04,196,19,160.42857142857142,16401,401
63,04/05,155,12,165.0,16556,413
64,04/06,173,9,174.14285714285714,16729,422
65,04/07,138,15,175.28571428571428,16867,437
66,04/08,178,7,172.28571428571428,17045,444
67,04/09,129,12,165.0,17174,456
68,04/10,183,17,164.57142857142858,17357,473
69,04/11,145,9,157.28571428571428,17502,482
70,04/12,128,7,153.42857142857142,17630,489
71,04/13,87,10,141.14285714285714,17717,499
72,04/14,127,16,139.57142857142858,17844,515
73,04/15,166,12,137.85714285714286,18010,527
74,04/16,154,15,141.42857142857142,18164,542
75,04/17,170,8,139.57142857142858,18334,550
76,04/18,154,6,140.85714285714286,18488,556
77,04/19,147,9,143.57142857142858,18635,565
78,04/20,153,10,153.0,18788,575
79,04/21,121,12,152.14285714285714,18909,587
80,04/22,225,4,160.57142857142858,19134,591
81,04/23,207,11,168.14285714285714,19341,602
82,04/24,304,5,187.28571428571428,19645,607
83,06/05,357,7,216.28571428571428,20002,614
84,06/06,322,12,241.28571428571428,20324,626
85,06/07,264,2,257.14285714285717,20588,628
86,06/08,203,0,268.85714285714283,20791,628
87,06/09,270,15,275.2857142857143,21061,643
88,06/10,285,10,286.42857142857144,21346,653
89,06/11,333,11,290.57142857142856,21679,664
90,06/12,320,7,285.2857142857143,21999,671
91,06/13,272,2,278.14285714285717,22271,673
92,06/14,240,1,274.7142857142857,22511,674
93,05/29,733,18,350.42857142857144,23244,692
94,05/30,523,20,386.57142857142856,23767,712
95,05/31,173,4,370.57142857142856,23940,716
96,06/01,140,3,343.0,24080,719
97,07/07,495,9,368.0,24575,728
98,07/05,522,0,403.7142857142857,25097,728
99,07/06,484,0,438.57142857142856,25581,728
100,07/04,738,0,439.2857142857143,26319,728
101,07/03,579,3,447.2857142857143,26898,731
102,06/17,256,9,459.14285714285717,27154,740
103,06/18,422,7,499.42857142857144,27576,747
104,06/27,539,11,505.7142857142857,28115,758
105,06/19,278,11,470.85714285714283,28393,769
106,06/25,464,9,468.0,28857,778
107,06/26,520,0,436.85714285714283,29377,778
108,06/24,432,7,415.85714285714283,29809,785
109,06/23,263,5,416.85714285714283,30072,790
110,06/28,457,0,421.85714285714283,30529,790
111,06/29,315,0,389.85714285714283,30844,790
112,06/30,601,7,436.0,31445,797
113,07/01,540,2,446.85714285714283,31985,799
114,07/02,539,7,449.57142857142856,32524,806
115,07/10,845,5,508.57142857142856,33369,811
116,07/11,926,7,603.2857142857143,34295,818
117,07/09,754,2,645.7142857142857,35049,820
118,07/08,598,2,686.1428571428571,35647,822
119,07/13,494,0,670.8571428571429,36141,822
120,07/14,964,6,731.4285714285714,37105,828
121,07/15,821,1,771.7142857142857,37926,829
122,07/16,900,4,779.5714285714286,38826,833
123,07/17,880,2,773.0,39706,835
124,07/18,978,10,805.0,40684,845
125,07/19,830,1,838.1428571428571,41514,846
126,07/12,769,0,877.4285714285714,42283,846
